Depth	Time(s)	Result
2	1.15	Completed (Passed 6)
3	1.18	Completed (Passed 30)
4	1.49	Completed (Passed 84)
5	3.99	Completed (Passed 280)
6	17.07	Completed (Passed 918)
7	113.48	Completed (Passed 2653)
8	759.43	TimedOut
