Depth	Time(s)	Result
2	0.96	Completed (Passed 3)
3	0.99	Completed (Passed 10)
4	1.09	Completed (Passed 21)
5	1.71	Completed (Passed 56)
6	6.13	Completed (Passed 153)
7	27.99	Completed (Passed 379)
8	181.51	Completed (Passed 985)
9	300.04	TimedOut
