Depth	Time(s)	Result
2	0.96	Completed (Passed 3)
3	1.00	Completed (Passed 10)
4	1.11	Completed (Passed 21)
5	1.93	Completed (Passed 56)
6	8.99	Completed (Passed 153)
7	45.14	Completed (Passed 379)
8	279.47	Completed (Passed 985)
