Depth	Time(s)	Result
2	1.26	Completed (Passed 3)
3	1.00	Completed (Passed 10)
4	1.09	Completed (Passed 21)
5	1.68	Completed (Passed 56)
6	5.02	Completed (Passed 153)
7	23.59	Completed (Passed 379)
8	130.95	Completed (Passed 985)
9	300.16	TimedOut
