Depth	Time(s)	Result
2	0.98	Completed (Passed 6)
3	1.02	Completed (Passed 30)
4	1.22	Completed (Passed 84)
5	3.69	Completed (Passed 280)
6	18.32	Completed (Passed 918)
7	109.93	Completed (Passed 2653)
8	300.17	TimedOut
