Benchmark,Tool,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Expr.subst,Target,5.7918219566345215,28.31777286529541,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Expr.subst,SmallCheck,1.5981197357177734e-3,0.19873905181884766,34.57693696022034,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Expr.subst,Lazy-SmallCheck,9.799003601074219e-5,2.7670860290527344e-3,7.30750560760498e-2,135.98004603385925,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
