depth,expressions,booleans,always-true,always-false,alternatives,local-functions
1,0.6957964601769911,0.8245614035087719,0.38596491228070173,0.14035087719298245,0.8608247422680413,0.92
5,0.7064896755162242,0.8245614035087719,0.38596491228070173,7.017543859649122e-2,0.8711340206185567,0.92
10,0.7064896755162242,0.8245614035087719,0.38596491228070173,7.017543859649122e-2,0.8711340206185567,0.92
15,0.7396755162241888,0.8947368421052632,0.43859649122807015,5.263157894736842e-2,0.884020618556701,0.92
20,0.7595870206489675,0.9298245614035088,0.45614035087719296,3.508771929824561e-2,0.8917525773195877,0.92
25,0.7595870206489675,0.9298245614035088,0.45614035087719296,3.508771929824561e-2,0.8917525773195877,0.92
30,0.7595870206489675,0.9298245614035088,0.45614035087719296,3.508771929824561e-2,0.8917525773195877,0.92
